galaxy_id,r_kpc,Vobs_kms,Vbar_kms
IC10,1.1818,22.4184,22.9326
IC10,1.3364,24.7261,24.4119
IC10,1.4909,25.3079,23.9188
IC10,1.6455,26.7144,24.8332
IC10,1.8,27.2952,25.246
NGC1569,0.1,3.8936,4.3869
NGC1569,0.2077,7.3846,9.3886
NGC1569,0.3154,12.8318,13.3532
NGC1569,0.4231,15.4617,16.9391
NGC1569,0.5308,17.2662,20.2737
NGC1569,0.6385,19.9781,21.9023
NGC1569,0.7462,23.0048,23.4468
NGC1569,0.8538,25.0724,24.362
NGC1569,0.9615,27.3911,25.1644
NGC1569,1.0692,29.3093,26.791
NGC1569,1.1769,28.3259,27.8485
NGC1569,1.2846,28.0814,29.5582
NGC1569,1.3923,27.933,29.2523
NGC1569,1.5,30.5247,30.2504
WLM,0.1,2.0,1.0
WLM,0.3267,4.6449,4.0317
WLM,0.5533,8.3721,6.9479
WLM,0.78,11.7457,8.5728
WLM,1.0067,16.6985,10.2152
WLM,1.2333,16.8467,11.7683
WLM,1.46,20.1447,13.2661
WLM,1.6867,20.5541,13.8626
WLM,1.9133,23.4264,14.4472
WLM,2.14,24.2778,15.6121
WLM,2.3667,24.9583,15.9508
WLM,2.5933,25.9939,16.797
WLM,2.82,26.3547,16.7655
WLM,3.0467,27.9187,16.662
WLM,3.2733,27.8771,16.9312
WLM,3.5,27.8635,18.2072
DDO101,0.1,3.9767,2.0746
DDO101,0.5083,9.2917,6.9336
DDO101,0.9167,15.9559,13.8802
DDO101,1.325,24.1034,17.9623
DDO101,1.7333,25.9478,21.3011
DDO101,2.1417,30.2324,24.2908
DDO101,2.55,35.3669,26.8066
DDO101,2.9583,36.8192,29.3206
DDO101,3.3667,39.5186,29.302
DDO101,3.775,41.1941,31.3003
DDO101,4.1833,43.3705,31.9275
DDO101,4.5917,45.9979,32.8283
DDO101,5.0,45.5744,34.3509
DDO126,0.1,2.4306,1.191
DDO126,0.3929,8.6495,5.7591
DDO126,0.6857,12.1808,9.8714
DDO126,0.9786,16.093,12.0811
DDO126,1.2714,20.3975,14.6484
DDO126,1.5643,24.1077,15.9935
DDO126,1.8571,26.7694,18.5612
DDO126,2.15,27.8023,19.4803
DDO126,2.4429,30.9143,20.8274
DDO126,2.7357,32.6982,21.5802
DDO126,3.0286,36.3964,22.7135
DDO126,3.3214,36.971,22.5944
DDO126,3.6143,35.2967,23.2918
DDO126,3.9071,36.7866,25.4517
DDO126,4.2,36.4247,24.2893
DDO133,0.1,2.0,1.3614
DDO133,0.4615,10.2807,6.546
DDO133,0.8231,17.3759,11.3994
DDO133,1.1846,18.0676,14.7564
DDO133,1.5462,23.333,18.3301
DDO133,1.9077,27.7631,21.011
DDO133,2.2692,32.3137,22.4466
DDO133,2.6308,31.8394,24.0784
DDO133,2.9923,34.7554,25.1598
DDO133,3.3538,37.65,26.1573
DDO133,3.7154,38.7774,26.626
DDO133,4.0769,39.1754,27.9133
DDO133,4.4385,40.5574,28.3119
DDO133,4.8,40.1645,30.0324
DDO52,0.1,3.4735,1.4826
DDO52,0.4667,8.799,6.4393
DDO52,0.8333,13.5598,10.9701
DDO52,1.2,18.3085,14.4706
DDO52,1.5667,24.9481,17.4601
DDO52,1.9333,27.4551,20.2791
DDO52,2.3,30.5166,19.9778
DDO52,2.6667,30.53,22.4808
DDO52,3.0333,35.2353,23.7759
DDO52,3.4,36.3542,24.73
DDO52,3.7667,36.0875,25.1445
DDO52,4.1333,37.9131,25.0876
DDO52,4.5,39.6779,26.656
DDO87,0.1,3.6175,1.4852
DDO87,0.46,5.731,6.0915
DDO87,0.82,13.9312,11.6965
DDO87,1.18,17.4902,14.333
DDO87,1.54,22.0917,18.7743
DDO87,1.9,24.6492,20.8592
DDO87,2.26,28.6069,23.8538
DDO87,2.62,33.1361,25.3877
DDO87,2.98,34.5876,27.5074
DDO87,3.34,37.8391,28.0888
DDO87,3.7,38.8764,27.7504
DDO87,4.06,39.4809,29.5436
DDO87,4.42,42.2293,29.647
DDO87,4.78,41.8481,30.7051
DDO87,5.14,43.2685,32.5059
DDO87,5.5,42.8543,32.496
CVnIdwA,0.1,2.0,1.0
CVnIdwA,0.21,3.1496,1.5428
CVnIdwA,0.32,4.8749,1.851
CVnIdwA,0.43,5.7294,2.3718
CVnIdwA,0.54,6.8118,2.769
CVnIdwA,0.65,7.8169,2.8646
CVnIdwA,0.76,8.6383,3.2593
CVnIdwA,0.87,8.9858,3.3341
CVnIdwA,0.98,8.6349,3.4873
CVnIdwA,1.09,9.6461,3.4911
CVnIdwA,1.2,9.8696,3.6677
DDO43,0.1,3.4124,1.9345
DDO43,0.3846,8.7714,7.2691
DDO43,0.6692,14.511,11.2163
DDO43,0.9538,19.5577,15.5187
DDO43,1.2385,22.571,18.1537
DDO43,1.5231,26.8754,20.4296
DDO43,1.8077,29.8,22.0967
DDO43,2.0923,32.8157,24.4915
DDO43,2.3769,35.5209,24.3559
DDO43,2.6615,35.0184,24.3991
DDO43,2.9462,37.4907,27.1202
DDO43,3.2308,40.4825,26.7387
DDO43,3.5154,39.1672,27.6363
DDO43,3.8,40.0311,28.7868
DDO46,0.1,2.0,1.8686
DDO46,0.4333,7.8076,7.936
DDO46,0.7667,13.7964,12.5838
DDO46,1.1,20.1734,16.7292
DDO46,1.4333,26.0987,19.1493
DDO46,1.7667,29.912,21.854
DDO46,2.1,32.6724,23.9555
DDO46,2.4333,33.2753,25.8076
DDO46,2.7667,34.3364,26.3511
DDO46,3.1,38.7131,27.8586
DDO46,3.4333,39.5848,28.2546
DDO46,3.7667,41.8747,29.0397
DDO46,4.1,43.2209,30.1654
DDO47,0.1,2.0,1.0
DDO47,0.4643,6.6051,6.2361
DDO47,0.8286,12.278,11.2611
DDO47,1.1929,16.5192,15.912
DDO47,1.5571,22.9413,19.6833
DDO47,1.9214,28.4069,20.471
DDO47,2.2857,30.4081,23.6061
DDO47,2.65,33.6577,24.4701
DDO47,3.0143,36.9609,26.7542
DDO47,3.3786,39.1639,27.5609
DDO47,3.7429,39.1909,27.5424
DDO47,4.1071,42.2609,29.9858
DDO47,4.4714,42.0301,29.8008
DDO47,4.8357,42.0297,30.4592
DDO47,5.2,43.2607,30.6848
DDO53,0.1,2.3933,1.5455
DDO53,0.2273,6.2158,3.441
DDO53,0.3545,8.7356,5.2113
DDO53,0.4818,11.3698,6.3883
DDO53,0.6091,13.3126,6.9138
DDO53,0.7364,15.3699,7.6157
DDO53,0.8636,15.7716,8.3184
DDO53,0.9909,16.2201,8.4017
DDO53,1.1182,18.4033,8.9623
DDO53,1.2455,18.3967,9.1851
DDO53,1.3727,19.7591,9.4868
DDO53,1.5,19.9012,9.484
DDO70,0.1,2.0,1.7195
DDO70,0.2462,4.4571,3.2493
DDO70,0.3923,8.0371,5.2527
DDO70,0.5385,11.0393,7.2637
DDO70,0.6846,13.3427,7.8717
DDO70,0.8308,16.5226,9.0542
DDO70,0.9769,17.5589,9.4823
DDO70,1.1231,17.6016,10.1845
DDO70,1.2692,19.4675,10.5274
DDO70,1.4154,19.9305,10.9065
DDO70,1.5615,20.7871,11.1102
DDO70,1.7077,21.744,11.6727
DDO70,1.8538,22.5909,11.6341
DDO70,2.0,22.5293,12.1923
DDO75,0.1,3.2927,1.5652
DDO75,0.2929,7.1462,5.9354
DDO75,0.4857,10.7006,8.0691
DDO75,0.6786,14.9461,10.1062
DDO75,0.8714,17.4204,12.4532
DDO75,1.0643,21.104,13.2776
DDO75,1.2571,21.0025,15.0334
DDO75,1.45,24.1327,16.2281
DDO75,1.6429,24.3286,17.0211
DDO75,1.8357,26.0964,18.0697
DDO75,2.0286,29.6573,18.5096
DDO75,2.2214,30.2657,19.1488
DDO75,2.4143,29.7818,19.086
DDO75,2.6071,29.8889,20.0682
DDO75,2.8,29.3358,20.6818
